EMP_NO,SIGLE,Essence_latin,DHP,Longitude,Latitude
54434,ACPL,Acer platanoides,25,-73.544155,45.46434
54435,ACSC,Acer saccharum,24,-73.544261,45.464375
54436,ACSC,Acer saccharum,27,-73.544403,45.464439
54437,ACSC,Acer saccharum,25,-73.544468,45.464455
54438,ACSC,Acer saccharum,20,-73.544452,45.464418
54439,PIPU,Picea pungens,21,-73.544541,45.464355
54440,FRPE,Fraxinus pennsylvanica,21,-73.544946,45.463775
54442,PIPU,Picea pungens,16,-73.545025,45.463598
54443,PIPU,Picea pungens,20,-73.545005,45.463591
54444,FRPE,Fraxinus pennsylvanica,30,-73.545047,45.463517
54445,FRPE,Fraxinus pennsylvanica,22,-73.545112,45.463401
54446,ACSC,Acer saccharum,30,-73.545078,45.463365
54447,ACSC,Acer saccharum,24,-73.545117,45.463336
54448,ACSC,Acer saccharum,26,-73.545134,45.463309
54449,ACSC,Acer saccharum,28,-73.545083,45.463286
54450,MA,Malus,24,-73.545014,45.463265
54451,MA,Malus,21,-73.544697,45.463206
54452,MA,Malus,25,-73.544553,45.463182
54453,MAXXRB,Malus x 'Robinson',5,-73.54447,45.463185
54454,MA,Malus,28,-73.544452,45.463259
54455,ACPL,Acer platanoides,20,-73.544233,45.463892
54456,ACPL,Acer platanoides,24,-73.544197,45.463864
54458,PIPU,Picea pungens,20,-73.543972,45.463779
54459,GLTR,Gleditsia triacanthos,6,-73.544085,45.463742
54460,TICO,Tilia cordata,20,-73.544018,45.463732
54461,TICO,Tilia cordata,15,-73.543936,45.463716
54462,TICO,Tilia cordata,11,-73.543881,45.463709
54463,GLTR,Gleditsia triacanthos,6,-73.543816,45.463694
54464,TICO,Tilia cordata,17,-73.543741,45.463686
54465,ACSC,Acer saccharum,21,-73.543398,45.463629
54466,ACSC,Acer saccharum,27,-73.543489,45.463628
54467,PIPU,Picea pungens,21,-73.543573,45.463631
54468,PIPU,Picea pungens,22,-73.543613,45.463629
54469,PIPU,Picea pungens,17,-73.543598,45.463619
54470,TICO,Tilia cordata,37,-73.543599,45.463596
54471,TICO,Tilia cordata,28,-73.543632,45.463592
54472,TICO,Tilia cordata,26,-73.543628,45.463524
54473,PIPU,Picea pungens,10,-73.543655,45.463526
54474,PIPU,Picea pungens,24,-73.543667,45.463487
54475,PIPU,Picea pungens,26,-73.543674,45.463477
54476,PIPU,Picea pungens,19,-73.543679,45.463433
54477,PIPU,Picea pungens,25,-73.543702,45.463408
54478,PIPU,Picea pungens,23,-73.543698,45.463339
54479,PIPU,Picea pungens,21,-73.543764,45.463318
54480,PIPU,Picea pungens,23,-73.543781,45.463309
54481,PIPU,Picea pungens,11,-73.543813,45.463277
54482,ACPL,Acer platanoides,26,-73.543849,45.463261
54483,ACPL,Acer platanoides,24,-73.543775,45.463252
54484,TICO,Tilia cordata,28,-73.543737,45.463256
54485,ACPL,Acer platanoides,23,-73.543735,45.463221
54486,ACPL,Acer platanoides,26,-73.543667,45.463218
54487,PIPU,Picea pungens,23,-73.542612,45.465757
54488,PR,Prunus,13,-73.542679,45.465753
54490,PR,Prunus,18,-73.54276,45.465721
54491,ACPL,Acer platanoides,21,-73.542766,45.465678
54492,PR,Prunus,16,-73.542807,45.465687
54493,ACPL,Acer platanoides,23,-73.54281,45.465648
54494,PR,Prunus,15,-73.542884,45.465656
54495,QURU,Quercus rubra,13,-73.542915,45.465607
54496,ACPL,Acer platanoides,24,-73.54292,45.465562
54497,QURU,Quercus rubra,20,-73.542968,45.465593
54498,QURU,Quercus rubra,16,-73.542989,45.465557
54499,QURU,Quercus rubra,20,-73.543048,45.465561
54500,FRPE,Fraxinus pennsylvanica,31,-73.542999,45.465514
54501,QURU,Quercus rubra,12,-73.543052,45.465518
54502,PIPU,Picea pungens,21,-73.54307,45.465479
54503,PIPU,Picea pungens,19,-73.543126,45.465486
54504,PIPU,Picea pungens,22,-73.543123,45.465445
54505,FRPE,Fraxinus pennsylvanica,27,-73.543144,45.465409
54506,TIAM,Tilia americana,24,-73.5432,45.465439
54507,TIAM,Tilia americana,17,-73.543216,45.46541
54508,FRPE,Fraxinus pennsylvanica,33,-73.543214,45.465352
54509,TIAM,Tilia americana,18,-73.543287,45.465374
54510,PR,Prunus,15,-73.543275,45.465333
54511,ACPL,Acer platanoides,30,-73.543278,45.465303
54512,PR,Prunus,13,-73.543349,45.465324
54513,PNNIAU,Pinus nigra 'Austriaca',21,-73.54329,45.465278
54514,PNNIAU,Pinus nigra 'Austriaca',24,-73.543295,45.465262
54515,PIPU,Picea pungens,21,-73.54333,45.465272
54516,PR,Prunus,22,-73.543387,45.465283
54517,PIPU,Picea pungens,19,-73.543415,45.465188
54518,PIPU,Picea pungens,29,-73.543438,45.465193
54519,PR,Prunus,22,-73.543455,45.465227
54520,PIPU,Picea pungens,20,-73.543503,45.465214
54521,PIPU,Picea pungens,20,-73.543493,45.465184
54522,PIPU,Picea pungens,21,-73.543549,45.465186
54523,PIPU,Picea pungens,29,-73.543519,45.465142
54524,TIAM,Tilia americana,20,-73.543575,45.465127
54525,PNNIAU,Pinus nigra 'Austriaca',23,-73.543537,45.465086
54526,TIAM,Tilia americana,18,-73.543628,45.465114
54527,ACPL,Acer platanoides,33,-73.543608,45.465086
54528,PNNIAU,Pinus nigra 'Austriaca',16,-73.543583,45.46507
54529,TIAM,Tilia americana,11,-73.543648,45.465098
54530,FRPE,Fraxinus pennsylvanica,31,-73.543643,45.46507
54531,QURU,Quercus rubra,16,-73.54371,45.465083
54532,QURU,Quercus rubra,17,-73.543709,45.465056
54533,QURU,Quercus rubra,16,-73.543752,45.46505
54534,FRPE,Fraxinus pennsylvanica,28,-73.54371,45.465006
54535,QURU,Quercus rubra,14,-73.543783,45.465003
54536,QURU,Quercus rubra,15,-73.543832,45.465004
54537,FRPE,Fraxinus pennsylvanica,36,-73.543774,45.464966
54538,PNNIAU,Pinus nigra 'Austriaca',31,-73.545634,45.462837
54539,PNNIAU,Pinus nigra 'Austriaca',22,-73.545652,45.462858
54540,PNNIAU,Pinus nigra 'Austriaca',26,-73.545606,45.462865
54541,FRPE,Fraxinus pennsylvanica,27,-73.54557,45.462856
54542,PNNIAU,Pinus nigra 'Austriaca',23,-73.54554,45.462872
54543,FRPE,Fraxinus pennsylvanica,26,-73.545585,45.462906
54544,PNNIAU,Pinus nigra 'Austriaca',17,-73.545515,45.462883
54545,FRPE,Fraxinus pennsylvanica,17,-73.545475,45.462852
54546,FRPE,Fraxinus pennsylvanica,21,-73.54544,45.462803
54547,FRPE,Fraxinus pennsylvanica,19,-73.545415,45.462858
54548,PIPU,Picea pungens,18,-73.545445,45.462891
54549,PIPU,Picea pungens,16,-73.545488,45.462936
54550,FRPE,Fraxinus pennsylvanica,56,-73.545411,45.462939
54551,FRPE,Fraxinus pennsylvanica,22,-73.545473,45.463006
54552,PIPU,Picea pungens,23,-73.545387,45.462981
54553,PIPU,Picea pungens,26,-73.545349,45.463031
54554,PIPU,Picea pungens,20,-73.545368,45.463079
54555,ACPL,Acer platanoides,34,-73.545288,45.463085
54556,FRPE,Fraxinus pennsylvanica,29,-73.545321,45.463162
54557,PR,Prunus,17,-73.545233,45.463086
54558,PR,Prunus,18,-73.545195,45.463136
54559,PR,Prunus,21,-73.545187,45.463155
54560,PR,Prunus,26,-73.545392,45.462821
54561,FRPE,Fraxinus pennsylvanica,35,-73.54541,45.462783
54562,PIPU,Picea pungens,13,-73.545363,45.462741
54563,PIPU,Picea pungens,8,-73.545312,45.462745
54564,PIPU,Picea pungens,17,-73.545322,45.462767
54565,PIPU,Picea pungens,19,-73.545262,45.462781
54566,FRPE,Fraxinus pennsylvanica,12,-73.545266,45.462734
54567,FRPE,Fraxinus pennsylvanica,16,-73.54525,45.462726
54568,FRPE,Fraxinus pennsylvanica,38,-73.545216,45.462733
54569,FRPE,Fraxinus pennsylvanica,13,-73.545195,45.46276
54570,PIAB,Picea abies,11,-73.545233,45.462757
54571,PIPU,Picea pungens,13,-73.545215,45.462766
54572,PIPU,Picea pungens,18,-73.54521,45.462792
54573,PIPU,Picea pungens,21,-73.545203,45.462829
54574,PIPU,Picea pungens,20,-73.545178,45.462856
54575,PIPU,Picea pungens,26,-73.54519,45.462878
54576,PR,Prunus,16,-73.545297,45.462945
54578,ACPL,Acer platanoides,34,-73.545122,45.463016
54579,CTSP,Catalpa speciosa,5,-73.545137,45.46309
54580,FRPE,Fraxinus pennsylvanica,25,-73.545074,45.463133
54581,PR,Prunus,16,-73.545203,45.463247
54582,PR,Prunus,11,-73.545156,45.463234
54583,PR,Prunus,13,-73.545086,45.463212
54584,PR,Prunus,13,-73.544969,45.463188
54585,PR,Prunus,15,-73.544732,45.463153
54586,AEHIBA,Aesculus hippocastanum 'Baumanii',5,-73.544729,45.463105
54587,TICO,Tilia cordata,29,-73.544573,45.463083
54588,FRPE,Fraxinus pennsylvanica,28,-73.544549,45.462792
54589,ULXXVF,Ulmus americana 'Valley Forge',5,-73.54435,45.462773
54594,ACFRMA,Acer x freemanii 'Marmo',5,-73.544267,45.462899
54595,PR,Prunus,3,-73.54426,45.462915
54596,PR,Prunus,3,-73.544274,45.462917
54597,PR,Prunus,3,-73.544281,45.46292
54599,ULXXVF,Ulmus americana 'Valley Forge',5,-73.544263,45.462962
54600,FRPE,Fraxinus pennsylvanica,28,-73.544236,45.463053
54601,FRPE,Fraxinus pennsylvanica,30,-73.544355,45.463077
54602,ACSC,Acer saccharum,36,-73.544455,45.463007
54603,ACSC,Acer saccharum,30,-73.544388,45.462994
54609,ACSC,Acer saccharum,19,-73.544515,45.462857
54610,GLTR,Gleditsia triacanthos,7,-73.544007,45.46318
54611,PR,Prunus,16,-73.544026,45.463233
54614,MA,Malus,25,-73.543939,45.463337
54615,PR,Prunus,14,-73.543974,45.463341
54616,MA,Malus,18.6,-73.544021,45.463348
54617,PR,Prunus,18,-73.544155,45.463378
54618,PR,Prunus,21,-73.544182,45.4634
54619,PR,Prunus,14,-73.544202,45.463385
54620,TIAM,Tilia americana,39,-73.544252,45.46327
54621,TICO,Tilia cordata,29,-73.544336,45.463241
54622,AEHIBA,Aesculus hippocastanum 'Baumanii',5,-73.544312,45.463317
54623,MAXXRB,Malus x 'Robinson',5,-73.54427,45.463441
54624,PR,Prunus,17,-73.544165,45.463647
54626,FRPE,Fraxinus pennsylvanica,31,-73.544278,45.463606
54628,FRPE,Fraxinus pennsylvanica,44,-73.544406,45.463727
54629,MA,Malus,29,-73.543953,45.46361
54630,PR,Prunus,14,-73.544186,45.463775
54631,PR,Prunus,17,-73.544234,45.463795
54632,PR,Prunus,15,-73.544306,45.463821
54633,PR,Prunus,19,-73.54434,45.463868
54634,PR,Prunus,11,-73.544288,45.46394
54635,PR,Prunus,14,-73.544231,45.463994
54636,PR,Prunus,14,-73.54413,45.464121
54637,PR,Prunus,12,-73.544074,45.464219
54638,PR,Prunus,14,-73.544025,45.464285
54639,PR,Prunus,19,-73.544004,45.464315
54640,PR,Prunus,19,-73.544051,45.464365
54641,PR,Prunus,16,-73.544054,45.464356
54642,ACPL,Acer platanoides,26,-73.544093,45.464321
54643,ACPL,Acer platanoides,32,-73.5441,45.464362
54644,ACPL,Acer platanoides,40,-73.585461,45.449253
54645,ACSA,Acer saccharinum,70,-73.585428,45.449293
54646,ACSA,Acer saccharinum,78,-73.585384,45.449319
54647,ACSA,Acer saccharinum,42,-73.585349,45.449295
54648,ACPL,Acer platanoides,46,-73.585359,45.449219
54649,ACPL,Acer platanoides,59,-73.585267,45.449213
54650,ACPL,Acer platanoides,61,-73.585272,45.449297
54652,ACPL,Acer platanoides,48,-73.585105,45.449249
54653,ACPL,Acer platanoides,19,-73.582242,45.448759
54655,ACPL,Acer platanoides,29,-73.581964,45.448757
54656,ROPS,Robinia pseudoacacia,57,-73.581784,45.448869
54658,ACPL,Acer platanoides,36,-73.581545,45.448874
54660,ACPL,Acer platanoides,24,-73.581694,45.44873
54661,TICO,Tilia cordata,56,-73.581522,45.44869
54662,TICO,Tilia cordata,52,-73.581349,45.448676
54663,ACPL,Acer platanoides,22,-73.581244,45.448671
54664,TICO,Tilia cordata,21,-73.581146,45.448652
54665,ACPL,Acer platanoides,28,-73.585606,45.449232
54666,ACPLDE,Acer platanoides 'Deborah',13,-73.585511,45.449218
54667,TICO,Tilia cordata,14,-73.581059,45.448643
54668,TICO,Tilia cordata,23,-73.580967,45.448706
54669,TICO,Tilia cordata,16,-73.580942,45.448821
54670,ULPU,Ulmus pumila,69,-73.581071,45.448878
54671,TICO,Tilia cordata,18,-73.58119,45.448836
54672,ROPS,Robinia pseudoacacia,58,-73.580883,45.448889
54673,TICO,Tilia cordata,51,-73.5807,45.448892
54674,QUBI,Quercus bicolor,4,-73.580434,45.448881
54675,TICO,Tilia cordata,63,-73.580314,45.448875
54676,ACSA,Acer saccharinum,86,-73.58017,45.448865
54677,ACSA,Acer saccharinum,89,-73.57995,45.448861
54678,ACPL,Acer platanoides,27,-73.579864,45.448842
54679,ACSA,Acer saccharinum,74,-73.579749,45.448853
54680,ACPL,Acer platanoides,23,-73.579779,45.448822
54681,ACPL,Acer platanoides,21,-73.579715,45.448792
54682,ACPL,Acer platanoides,28,-73.57973,45.448746
54683,ACPL,Acer platanoides,33,-73.579701,45.448692
54684,ACPL,Acer platanoides,20,-73.579757,45.448673
54685,ACPL,Acer platanoides,22,-73.579798,45.448638
54686,ACPL,Acer platanoides,26,-73.579863,45.448639
54687,ACPL,Acer platanoides,20,-73.579923,45.448598
54688,TICO,Tilia cordata,14,-73.580252,45.448576
54689,TICO,Tilia cordata,20,-73.580283,45.448608
54690,TICO,Tilia cordata,19,-73.580296,45.448641
54691,TICO,Tilia cordata,27,-73.580302,45.448683
54692,TICO,Tilia cordata,35,-73.580286,45.448727
54693,TICO,Tilia cordata,20,-73.580248,45.448758
54694,TICO,Tilia cordata,18,-73.58019,45.448783
54695,TICO,Tilia cordata,17,-73.580142,45.448787
54696,FRPE,Fraxinus pennsylvanica,41,-73.580769,45.448638
54697,ROPS,Robinia pseudoacacia,64,-73.580621,45.448572
54700,ACPL,Acer platanoides,17,-73.579773,45.448543
54702,ACPL,Acer platanoides,32,-73.57967,45.448519
54703,ACPL,Acer platanoides,18,-73.579648,45.448552
54704,ACPL,Acer platanoides,21,-73.579681,45.448549
54705,ACPL,Acer platanoides,19,-73.579718,45.448561
54706,ACPL,Acer platanoides,18,-73.579666,45.448575
54707,ACPL,Acer platanoides,30,-73.579661,45.4486
54708,ACPL,Acer platanoides,17,-73.579601,45.448599
54710,ACPL,Acer platanoides,38,-73.579538,45.448628
54713,TICO,Tilia cordata,17,-73.579455,45.448495
54714,TICO,Tilia cordata,11,-73.579388,45.448467
54715,TICO,Tilia cordata,53,-73.579337,45.448461
54716,TIAM,Tilia americana,10,-73.579282,45.448457
54717,TIAM,Tilia americana,19,-73.579215,45.448453
54718,TIAM,Tilia americana,21,-73.579061,45.448432
54719,TIAM,Tilia americana,16,-73.578907,45.448414
54720,TIAM,Tilia americana,15,-73.578852,45.448403
54721,TIAM,Tilia americana,20,-73.578794,45.448394
54722,TIAM,Tilia americana,14,-73.578735,45.448386
54723,ACSA,Acer saccharinum,139,-73.578629,45.448379
54724,TIAM,Tilia americana,39,-73.578168,45.448356
54725,FRPE,Fraxinus pennsylvanica,37,-73.578203,45.448426
54726,ACSA,Acer saccharinum,87,-73.578329,45.448465
54727,ACSA,Acer saccharinum,96,-73.578258,45.448652
54729,FRPE,Fraxinus pennsylvanica,33,-73.57848,45.448805
54730,PIAB,Picea abies,33,-73.578546,45.448749
54731,TIAM,Tilia americana,41,-73.578534,45.44872
54732,PIAB,Picea abies,27,-73.578591,45.448671
54733,QURU,Quercus rubra,33,-73.578452,45.448619
54734,ACPL,Acer platanoides,32,-73.578564,45.448543
54736,TICO,Tilia cordata,62,-73.57903,45.448816
54737,PIGL,Picea glauca,21,-73.578349,45.452442
54738,PIAB,Picea abies,33,-73.578358,45.452394
54739,PIAB,Picea abies,27,-73.578379,45.452415
54740,TICO,Tilia cordata,24,-73.578437,45.452389
54741,FRPE,Fraxinus pennsylvanica,22,-73.578436,45.452442
54742,FRPE,Fraxinus pennsylvanica,27,-73.578415,45.452464
54743,TICO,Tilia cordata,32,-73.578458,45.452478
54744,GLTR,Gleditsia triacanthos,30,-73.578552,45.452484
54745,GLTR,Gleditsia triacanthos,13,-73.578553,45.452532
54746,FRPE,Fraxinus pennsylvanica,23,-73.578481,45.452525
54747,GLTR,Gleditsia triacanthos,27,-73.578784,45.452495
54748,GLTR,Gleditsia triacanthos,27,-73.578621,45.452452
54749,GLTR,Gleditsia triacanthos,25,-73.578729,45.452447
54750,FRPE,Fraxinus pennsylvanica,22,-73.578745,45.452401
54751,TICO,Tilia cordata,40,-73.578843,45.452363
54752,ACPLSC,Acer platanoides 'Schwedleri',28,-73.578781,45.45236
54754,ACPL,Acer platanoides,30,-73.579825,45.454201
54755,GLTR,Gleditsia triacanthos,27,-73.579819,45.454246
54756,PIPU,Picea pungens,18,-73.579784,45.454244
54757,GLTR,Gleditsia triacanthos,32,-73.579772,45.454276
54758,PIPU,Picea pungens,13,-73.579745,45.454267
54759,PIPU,Picea pungens,21,-73.579749,45.454237
54760,PIPU,Picea pungens,19,-73.579769,45.454222
54761,PIPU,Picea pungens,25,-73.579707,45.454214
54762,FRPE,Fraxinus pennsylvanica,21,-73.578482,45.45257
54763,TICO,Tilia cordata,26,-73.578397,45.452603
54764,FRPE,Fraxinus pennsylvanica,23,-73.578401,45.452554
54765,ACPL,Acer platanoides,29,-73.578355,45.452531
54766,ACPL,Acer platanoides,18,-73.578339,45.452613
54767,ACPL,Acer platanoides,52,-73.578327,45.452674
54768,PIPU,Picea pungens,19,-73.578507,45.452652
54769,PIGL,Picea glauca,26,-73.578603,45.452658
54770,GLTR,Gleditsia triacanthos,27,-73.578616,45.452584
54771,GLTR,Gleditsia triacanthos,23,-73.578722,45.452582
54772,PIPU,Picea pungens,15,-73.578752,45.452623
54773,TICO,Tilia cordata,28,-73.578694,45.452672
54774,PIGL,Picea glauca,17,-73.578784,45.452678
54775,PIAB,Picea abies,18,-73.5788,45.452646
54776,PIPU,Picea pungens,18,-73.57884,45.452661
54777,CEOC,Celtis occidentalis,5,-73.578961,45.452667
54778,GLTR,Gleditsia triacanthos,9,-73.578965,45.452547
54779,GLTR,Gleditsia triacanthos,9,-73.578974,45.452392
54780,GLTR,Gleditsia triacanthos,9,-73.578947,45.452418
54781,CEOC,Celtis occidentalis,9,-73.578822,45.452459
54782,PIPU,Picea pungens,19,-73.57971,45.454246
54783,PIGL,Picea glauca,15,-73.579709,45.45427
54784,GLTR,Gleditsia triacanthos,26,-73.579702,45.454313
54785,PIPU,Picea pungens,13,-73.579664,45.454309
54786,PIPU,Picea pungens,10,-73.579684,45.454295
54787,PIPU,Picea pungens,21,-73.579681,45.454272
54788,PIPU,Picea pungens,18,-73.579675,45.454241
54789,PIPU,Picea pungens,11,-73.579679,45.454214
54790,ACPL,Acer platanoides,31,-73.579638,45.45421
54791,PIPU,Picea pungens,11,-73.579633,45.454221
54792,PIPU,Picea pungens,11,-73.5796,45.454216
54793,PIPU,Picea pungens,17,-73.579596,45.454232
54794,PIPU,Picea pungens,24,-73.579632,45.454244
54795,PIPU,Picea pungens,14,-73.579642,45.454271
54796,PIPU,Picea pungens,13,-73.579631,45.454279
54797,PIPU,Picea pungens,14,-73.579585,45.454291
54798,PIPU,Picea pungens,22,-73.579584,45.454304
54799,PIPU,Picea pungens,17,-73.579635,45.454306
54800,PIPU,Picea pungens,13,-73.57961,45.45432
54801,PIPU,Picea pungens,20,-73.579622,45.45433
54802,PIPU,Picea pungens,19,-73.579571,45.454308
54803,PIPU,Picea pungens,16,-73.579579,45.454344
54804,PIPU,Picea pungens,18,-73.579573,45.454366
54805,PIPU,Picea pungens,21,-73.579585,45.454402
54806,PIPU,Picea pungens,21,-73.579621,45.454345
54807,GLTR,Gleditsia triacanthos,32,-73.579679,45.454364
54808,GLTR,Gleditsia triacanthos,29,-73.579579,45.4545
54809,PIPU,Picea pungens,15,-73.579548,45.454511
54810,PIPU,Picea pungens,17,-73.579543,45.454544
54811,PIPU,Picea pungens,15,-73.579584,45.454553
54812,PIPU,Picea pungens,15,-73.579554,45.454555
54813,PIPU,Picea pungens,16,-73.579586,45.454583
54814,PIPU,Picea pungens,22,-73.579616,45.4546
54815,PIPU,Picea pungens,17,-73.579552,45.454582
54816,PIPU,Picea pungens,20,-73.579561,45.454608
54817,PIPU,Picea pungens,17,-73.579584,45.454613
54818,PIPU,Picea pungens,21,-73.57961,45.454614
54819,PIPU,Picea pungens,22,-73.579573,45.454627
54820,PIPU,Picea pungens,22,-73.579556,45.454626
54821,PIPU,Picea pungens,19,-73.579551,45.454652
54822,PIPU,Picea pungens,17,-73.579569,45.454682
54823,PIPU,Picea pungens,20,-73.579587,45.454653
54824,PIPU,Picea pungens,19,-73.579599,45.454682
54825,PIPU,Picea pungens,23,-73.579619,45.454658
54826,PIPU,Picea pungens,21,-73.579641,45.454645
54827,TICO,Tilia cordata,26,-73.579549,45.454722
54828,TICO,Tilia cordata,22,-73.579617,45.454732
54829,GLTR,Gleditsia triacanthos,26,-73.579704,45.45465
54830,GLTR,Gleditsia triacanthos,30,-73.579804,45.454656
54831,GLTR,Gleditsia triacanthos,18,-73.57975,45.454692
54832,TICO,Tilia cordata,21,-73.579802,45.454724
54833,TICO,Tilia cordata,21,-73.57989,45.454732
54834,TICO,Tilia cordata,28,-73.579963,45.454737
54835,TICO,Tilia cordata,27,-73.580051,45.45474
54836,TICO,Tilia cordata,21,-73.580135,45.454745
54837,TICO,Tilia cordata,47,-73.580221,45.454747
54838,ACPLDE,Acer platanoides 'Deborah',7,-73.580329,45.454758
54839,ACPL,Acer platanoides,14,-73.584649,45.449351
54840,ULPU,Ulmus pumila,38,-73.584672,45.449398
54842,ACPL,Acer platanoides,17,-73.584892,45.4493
54844,ACPL,Acer platanoides,52,-73.584872,45.449159
54845,ACPL,Acer platanoides,12,-73.584898,45.449217
54846,GLTR,Gleditsia triacanthos,19,-73.584952,45.449298
54847,ACPL,Acer platanoides,13,-73.585133,45.449363
54848,ACPL,Acer platanoides,59,-73.585165,45.449395
54849,MA,Malus,5,-73.585186,45.449493
54850,ACSA,Acer saccharinum,57,-73.585124,45.449602
54852,ACPL,Acer platanoides,45,-73.585029,45.449749
54853,ACPL,Acer platanoides,47,-73.585078,45.449758
54854,ACPL,Acer platanoides,51,-73.585079,45.449706
54855,ACPL,Acer platanoides,58,-73.585153,45.449669
54856,ACPL,Acer platanoides,44,-73.58524,45.449607
54857,ACPL,Acer platanoides,49,-73.585278,45.449584
54858,TICO,Tilia cordata,17,-73.583979,45.447944
54859,TICO,Tilia cordata,17,-73.584,45.447878
54860,TICO,Tilia cordata,43,-73.58399,45.447835
54861,TICO,Tilia cordata,32,-73.584035,45.447734
54862,TICO,Tilia cordata,33,-73.584059,45.447658
54863,TICO,Tilia cordata,33,-73.584087,45.44758
54864,TICO,Tilia cordata,28,-73.584128,45.447406
54865,TICO,Tilia cordata,25,-73.584161,45.447315
54866,TICO,Tilia cordata,16,-73.584186,45.447235
54867,ACPL,Acer platanoides,41,-73.584622,45.447235
54868,ACPL,Acer platanoides,31,-73.584643,45.447203
54869,ACPL,Acer platanoides,41.4,-73.584654,45.447239
54870,ACPL,Acer platanoides,35,-73.583782,45.448337
54871,ACPL,Acer platanoides,51,-73.583814,45.448221
54872,ACSA,Acer saccharinum,50,-73.583856,45.4481
54874,ACPL,Acer platanoides,16,-73.583936,45.447816
54876,ACSA,Acer saccharinum,49,-73.584024,45.447529
54877,ACPLDE,Acer platanoides 'Deborah',6,-73.584077,45.447364
54878,ACPL,Acer platanoides,22,-73.584104,45.447269
54879,ACSA,Acer saccharinum,53,-73.584137,45.447169
54880,ULAM,Ulmus americana,48,-73.584568,45.449122
54881,ACPL,Acer platanoides,22,-73.584572,45.44913
54882,ACPL,Acer platanoides,40,-73.584585,45.449198
54883,ULAM,Ulmus americana,40,-73.584565,45.449292
54884,ULPU,Ulmus pumila,62,-73.584505,45.449371
54885,ULPU,Ulmus pumila,43,-73.584504,45.449384
54886,ULPU,Ulmus pumila,37,-73.58454,45.449413
54887,ULPU,Ulmus pumila,23,-73.584576,45.449414
54888,ULPU,Ulmus pumila,63,-73.584586,45.449398
54889,ACPL,Acer platanoides,13.9,-73.584616,45.449372
54890,ACPL,Acer platanoides,9,-73.584626,45.449387
54891,ULPU,Ulmus pumila,29,-73.584664,45.449416
54892,ULPU,Ulmus pumila,38,-73.584638,45.449393
54893,ULPU,Ulmus pumila,48,-73.584654,45.449398
54894,ACSA,Acer saccharinum,56,-73.585284,45.449657
54895,ACPL,Acer platanoides,35,-73.585245,45.449778
54896,ACPLDE,Acer platanoides 'Deborah',8,-73.585338,45.449784
54897,ACPLDE,Acer platanoides 'Deborah',7,-73.585464,45.449795
54898,ACPLRR,Acer platanoides 'Royal Red',8,-73.58554,45.449801
54899,ACPLRR,Acer platanoides 'Royal Red',8,-73.585639,45.449792
54900,ACPL,Acer platanoides,28,-73.585559,45.449724
54901,ACPL,Acer platanoides,37,-73.585542,45.449696
54905,ACPL,Acer platanoides,59,-73.585577,45.449646
54906,ACPL,Acer platanoides,20.8,-73.585796,45.449507
54907,ACPL,Acer platanoides,12,-73.585819,45.449481
54908,ACPL,Acer platanoides,5,-73.585861,45.449478
54909,ACPL,Acer platanoides,18,-73.585865,45.449494
54910,ACPL,Acer platanoides,18.4,-73.585852,45.449451
54911,ACPL,Acer platanoides,13,-73.585857,45.449445
54912,ACPL,Acer platanoides,7,-73.585855,45.449463
54913,ACPL,Acer platanoides,5,-73.585867,45.449454
54914,ACPL,Acer platanoides,17.2,-73.585855,45.449468
54915,ACPL,Acer platanoides,18.7,-73.585826,45.449461
54916,ACPL,Acer platanoides,8.1,-73.58582,45.449421
54917,ACPL,Acer platanoides,13,-73.585828,45.449424
54918,ACPL,Acer platanoides,10,-73.585811,45.449398
54919,ULAM,Ulmus americana,19.8,-73.585844,45.449399
54920,ULAM,Ulmus americana,14.8,-73.585835,45.449395
54921,ACPL,Acer platanoides,9,-73.585869,45.449395
54922,ULAM,Ulmus americana,10,-73.58588,45.449349
54923,ACPL,Acer platanoides,16.4,-73.585878,45.4493
54924,TICO,Tilia cordata,36,-73.585779,45.449397
54925,ACPLDE,Acer platanoides 'Deborah',7,-73.58567,45.449398
54926,ACSC,Acer saccharum,53,-73.585519,45.44944
54927,ACPL,Acer platanoides,18,-73.585819,45.449265
54928,ACPL,Acer platanoides,31,-73.585692,45.449242
54929,SYRE,Syringa reticulata,9,-73.579596,45.447642
54930,SYRE,Syringa reticulata,9,-73.57957,45.447619
54931,SYRE,Syringa reticulata,11,-73.579522,45.447591
54932,SYRE,Syringa reticulata,7,-73.579478,45.44756
54933,ACPL,Acer platanoides,35,-73.579616,45.447564
54934,ACPL,Acer platanoides,44,-73.579746,45.447643
54935,QURU,Quercus rubra,9,-73.57989,45.44757
54936,MA,Malus,9,-73.579837,45.447594
54937,SYRE,Syringa reticulata,13,-73.579819,45.447572
54938,SYRE,Syringa reticulata,16,-73.579762,45.447529
54939,SYRE,Syringa reticulata,17,-73.579721,45.4475
54940,SYRE,Syringa reticulata,15,-73.579651,45.447474
54941,SYRE,Syringa reticulata,9,-73.57961,45.447459
54942,SYRE,Syringa reticulata,15,-73.579525,45.447453
54943,SYRE,Syringa reticulata,11,-73.579468,45.447457
54944,SYRE,Syringa reticulata,17,-73.57942,45.447464
54945,ACNE,Acer negundo,15.6,-73.591952,45.439155
54946,ACNE,Acer negundo,20,-73.591945,45.439138
54947,ACPL,Acer platanoides,71,-73.579521,45.447407
